ad:amadeus_soluciones_tecnologicas:rackspace_cloudfiles	AD	Amadeus Soluciones Tecnologicas	Rackspace CloudFiles	100		98	641
ad:amadeus_soluciones_tecnologicas:rackspace_cloudserver	AD	Amadeus Soluciones Tecnologicas	Rackspace CloudServer	100		4141	
ad:amadeus_soluciones_tecnologicas:simplecdn	AD	Amadeus Soluciones Tecnologicas	SimpleCDN	100		214	
ad:amadeus_soluciones_tecnologicas:twitter	AD	Amadeus Soluciones Tecnologicas	Twitter	100	2875		
ad:amadeus_soluciones_tecnologicas:yacast	AD	Amadeus Soluciones Tecnologicas	Yacast	100		125	
ad:amadeus_soluciones_tecnologicas:yahoo	AD	Amadeus Soluciones Tecnologicas	Yahoo	100	436		
ad:amadeus_soluciones_tecnologicas:youtube	AD	Amadeus Soluciones Tecnologicas	YouTube	100	453	282	
ad:andorra_telecom:aol	AD	Andorra Telecom	AOL	99	806	164	
ad:andorra_telecom:akamai	AD	Andorra Telecom	Akamai	99	539	232	1594
ad:andorra_telecom:amazon_ec2_eu	AD	Andorra Telecom	Amazon EC2 (EU)	99	320	152	847
ad:andorra_telecom:amazon_ec2_us	AD	Andorra Telecom	Amazon EC2 (US)	99	412	235	1423
ad:andorra_telecom:amazon_s3_eu	AD	Andorra Telecom	Amazon S3 (EU)	99	288	154	785
ad:andorra_telecom:amazon_s3_us	AD	Andorra Telecom	Amazon S3 (US)	99	537	206	1515
ad:andorra_telecom:bing	AD	Andorra Telecom	Bing	99	447	224	
ad:andorra_telecom:bitgravity	AD	Andorra Telecom	BitGravity	86	448	208	
ad:andorra_telecom:cdnetworks	AD	Andorra Telecom	CDNetworks	100	232	109	385
ad:andorra_telecom:cachefly	AD	Andorra Telecom	CacheFly	99	258	114	114
ad:andorra_telecom:chinacache	AD	Andorra Telecom	ChinaCache	98	892	236	696
ad:andorra_telecom:cloudfront	AD	Andorra Telecom	Cloudfront	98	466	181	821
ad:andorra_telecom:cotendo	AD	Andorra Telecom	Cotendo	100	220	269	544
ad:andorra_telecom:edgecast	AD	Andorra Telecom	Edgecast	99	407	243	1216
ad:andorra_telecom:facebook	AD	Andorra Telecom	Facebook	99	526	194	
ad:andorra_telecom:gogrid	AD	Andorra Telecom	GoGrid	99	607	290	1901
ad:andorra_telecom:google_app_engine	AD	Andorra Telecom	Google App Engine	98	423	301	370
ad:andorra_telecom:highwinds	AD	Andorra Telecom	Highwinds	99	240	316	613
