1	43182
1	32445
1	43000
1	12687
5	14352
1	 3853
1	  530
1	21574
3	12873
2	31327
1	15760
1	13101
1	86834
1	49672
1	 9581
1	 9006
2	12456
1	16742
1	19886
1	102968
1	 2764
1	38690
1	36270
1	11686
1	59425
1	31925
1	14142
2	46677
2	26938
2	11064
1	 4598
1	 1463
1	30430
1	18876
1	 8538
1	 4112
2	15757
1	22433
1	86320
1	37464
5	20206
1	 4097
1	90842
1	10975
1	  237
1	13847
1	48166
1	 1544
2	50409
3	29340
1	32922
3	30656
1	18270
4	10246
1	29213
1	 2220
1	 1869
1	 9481
1	 1777
1	 1087
2	58940
8	87313
1	 5124
3	29569
1	12649
1	50140
2	10058
1	 9070
1	30371
3	34727
1	19877
1	54493
1	  214
1	19203
1	17547
1	30041
1	33336
1	 5353
1	99162
1	 2486
1	75198
1	 9321
1	61763
1	40330
1	45822
1	50240
2	 8465
1	51299
1	10460
2	14375
1	22707
1	 4774
1	34226
1	19729
1	51705
1	14398
1	26126
2	57181
1	18103
1	 4843
1	22484
1	10423
1	25481
1	 2354
2	 4693
1	 2806
1	12075
2	31861
2	48534
1	31593
1	 9765
2	16120
1	 7399
1	14096
1	 1096
2	32055
2	26633
1	19444
1	21980
1	10857
4	10266
5	67981
1	 9151
1	 3211
1	18713
1	23792
1	19377
1	 1008
1	11652
2	50507
1	11658
2	28501
4	28220
2	21763
2	31071
1	12428
1	29013
1	 1447
1	64315
1	48576
1	25539
2	62325
2	43008
3	 9365
1	16334
1	 5797
1	 4615
1	 9237
12	51627
2	16496
1	16766
1	10424
1	 2482
1	15848
3	64916
3	77078
1	74122
1	 6468
2	23465
1	13822
1	13073
1	12678
1	 9103
1	60089
1	11784
7	63099
1	29402
1	69735
1	 6376
4	14154
1	13795
1	35168
1	35324
1	 3944
2	32723
1	27226
1	 2955
1	 4389
1	 2208
1	56018
1	42506
1	 2993
1	10133
6	39571
1	21335
1	41476
1	 9636
1	  845
1	12682
2	38254
1	 1510
1	79415
1	 3613
3	26439
2	 9705
1	66617
1	 6740
1	 4888
3	44809
2	 6439
2	69177
1	43695
1	51145
1	 4957
1	 9916
2	89125
1	 8598
1	 9885
1	37584
1	  957
2	115560
1	57928
1	14220
1	12900
1	 3896
3	 5362
1	16285
1	16100
1	 7846
1	25994
3	24876
1	13142
1	  149
1	11508
1	12926
1	15465
1	19890
1	17706
1	10222
1	43112
1	12058
1	18269
1	17298
1	 1466
2	  132
1	21804
1	26219
1	10302
1	13339
1	12805
5	24159
1	32327
1	13347
1	 8397
1	37179
1	 2616
2	 4589
1	41302
2	26656
1	 2393
1	 3571
1	36500
1	 1008
1	62131
4	76164
1	24473
1	 2847
2	11130
3	29203
1	33891
1	126945
1	27541
1	82464
1	32958
1	81547
7	16720
1	 9468
1	 1112
2	15747
2	57531
1	62844
1	12544
1	16227
1	15445
1	38880
1	  698
1	12167
2	39520
1	100383
1	 5668
1	 5256
1	 4921
1	19410
1	 8463
1	14339
1	37454
5	21973
1	35104
3	22628
1	35655
1	27997
1	64212
1	22338
2	17394
1	  273
1	 3135
2	  166
1	 4610
1	 2666
1	38040
1	 2957
1	 3375
1	 6179
1	 4196
1	 1879
1	20311
3	45179
1	 7292
1	17564
1	44244
1	 4167
1	28387
1	22952
2	 5026
1	 4785
1	 4793
1	20841
2	29042
1	35598
1	 5649
1	 1886
1	  546
1	28374
1	23109
1	 1724
1	 3731
1	 5141
2	51547
1	 7926
1	29937
1	25485
2	 2268
1	78852
1	 1059
1	 7937
1	25862
2	29063
1	21735
1	75480
1	55802
1	 9530
1	13367
1	 2848
1	21050
2	93869
1	62388
1	11056
2	62072
6	58876
1	45929
1	 3036
1	 6012
1	 6658
3	27420
4	51334
1	 4179
3	15194
1	 5580
1	 8825
1	33609
2	19189
3	38285
1	27805
1	20797
1	 5207
1	12737
1	14408
1	15164
1	 7855
1	42537
1	27869
1	27819
2	65536
1	10694
1	13887
1	 3035
1	42714
3	73985
1	19866
1	 6267
1	  160
1	11903
1	14591
1	82638
2	25678
1	18968
1	 5914
1	15887
1	10255
1	13936
1	94223
2	21018
1	 9211
1	16260
2	16721
1	150326
1	13264
1	18780
1	14227
1	16809
1	 3976
1	 6295
2	 3736
1	74945
5	24249
5	15790
1	17767
1	12191
