key	prez_2008	prez_2004	prez_2000	prez_1996	prez_1992	rank	circ	daily	sun	lat	lng	st	city	paper
Dispatch			Bush									IL	Moline	Dispatch
Desert Sun	McCain		Bush									CA	Palm Springs	Desert Sun
Chicago Tribune	Obama	Bush	Bush	Dole								IL	Chicago	Chicago Tribune
Marin Independent-Journal	Obama	Kerry	Gore									CA	Marin County	Marin Independent-Journal
Columbia State				Dole								SC	Columbia	Columbia State
Commercial Appeal	Obama	Kerry	Bush	Dole								TN	Memphis	Commercial Appeal
Blackwell Journal-Tribune				Dole								OK	Blackwell	Blackwell Journal-Tribune
High Point Enterprise			Bush									NC	High Point	High Point Enterprise
Emporia Gazette			Gore									KS	Emporia	Emporia Gazette
Oklahoman	McCain	Bush										OK	Oklahoma City	Oklahoman
Midland Reporter-Telegram				Dole								TX	Midland	Midland Reporter-Telegram
Ann Arbor News			Bush									MI	Ann Arbor	Ann Arbor News
Paris News				Dole								TX	Paris	Paris News
San Jose Mercury News	Obama	Kerry	Gore	Clinton								CA	San Jose	San Jose Mercury News
Beaver County Times			Gore									PA	Beaver County	Beaver County Times
el Diario	Obama	Kerry										NY	New York	el Diario
Ocala Star-Banner			Gore									FL	Ocala	Ocala Star-Banner
Milwaukee Journal Sentinel	Obama			Dole								WI	Milwaukee	Milwaukee Journal Sentinel
Rockford Register Star	Obama	Kerry	Bush									IL	Rockford	Rockford Register Star
Dalhart Daily Texan				Dole								TX	Dalhart	Dalhart Daily Texan
Muskogee Daily Phoenix	Obama	Kerry	Bush									OK	Muskogee	Muskogee Daily Phoenix
Dayton Daily News	Obama	Kerry	Gore	Clinton								OH	Dayton	Dayton Daily News
Spartanburg Herald-Journal	McCain											SC	Spartanburg	Spartanburg Herald-Journal
Traverse City Record-Eagle				Clinton								MI	Traverse City	Traverse City Record-Eagle
Gainesville Sun			Gore									FL	Gainesville	Gainesville Sun
Norwalk Reflector				Clinton								OH	Norwalk	Norwalk Reflector
Napa Valley Register	McCain	Bush										CA	Napa	Napa Valley Register
Amarillo Globe-News	McCain	Bush										TX	Amarillo	Amarillo Globe-News
West Chester Daily Local News				Dole								PA	West Chester	West Chester Daily Local News
Kerrville Daily Times	McCain			Dole								TX	Kerrville	Kerrville Daily Times
Salem Evening News			Gore									MA	Salem	Salem Evening News
Grand Forks Herald			Gore									ND	Grand Forks	Grand Forks Herald
Galveston County Daily News	McCain		Bush									TX	Galveston	Galveston County Daily News
Union News				Clinton								MA	Springfield	Union News
Daily News Record	McCain		Bush									VA	Harrisonburg	Daily News Record
Mitchell Daily Republic				Dole								SD	Mitchell	Mitchell Daily Republic
Shenandoah Valley News Today				Dole								IA	Shenandoah Valley	Shenandoah Valley News Today
Saginaw News	Obama											MI	Saginaw	Saginaw News
Nashville Banner				Clinton								TN	Nashville	Nashville Banner
Daytona Beach News-Journal	Obama	Kerry		Clinton								FL	Daytona Beach	Daytona Beach News-Journal
Bennington Banner	Obama											VT	Bennington	Bennington Banner
Ledger			Bush									FL	Lakeland	Ledger
Hayward Daily Review				Clinton								CA	Hayward	Hayward Daily Review
