key	prez_2008	prez_2004	prez_2000	prez_1996	prez_1992	rank	circ	daily	sun	lat	lng	st	city	paper	metro	pop
Home News Tribune	Obama		Gore		Clinton		49076			40.4278841	-74.415984	NJ	East Brunswick	Home News Tribune	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	48495
Washington Daily News					Clinton					35.5465517	-77.0521742	NC	Washington	Washington Daily News	"#<struct CityMetro st=""NC"", city=""Washington"", fips_state=""37"", fips_place=""71220"", cbsa_code=""47820"", metro_name=""Washington, NC uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	9644
Pierre Capital Journal				Dole						44.3683156	-100.3509665	SD	Pierre	Pierre Capital Journal	"#<struct CityMetro st=""SD"", city=""Pierre"", fips_state=""46"", fips_place=""49600"", cbsa_code=""38180"", metro_name=""Pierre, SD uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	13879
New York Post	McCain	Bush	Bush	Dole	GHWBush	6	702488	702488	401315	40.7142691	-74.0059729	NY	New York City	New York Post	"#<struct CityMetro st=""NY"", city=""New York City"", fips_state=""36"", fips_place=""51000"", cbsa_code=""35620"", metro_name=""New York-Northern New Jersey-Long Island, NY-NJ-PA MSA"", metro_stature=""MSA"", pop_2007=18815988, pop_2000=18323002, pop_rank=1, pop_chg_pct_00_07=2.69, pop_chg_pct_avg=0.38, pop_at_or_above=18815988, pop_aoa_pct=6.2, metro_st=""NY-NJ-PA"", metro_nickname=""Greater New York, Tri-State Region"", csa_name=""New York-Newark-Bridgeport, NY-NJ-CT-PA CSA"">"	8008278
Mountain Home News	abstain									43.1329504	-115.6911975	ID	Mountain Home	Mountain Home News	"#<struct CityMetro st=""ID"", city=""Mountain Home"", fips_state=""16"", fips_place=""54730"", cbsa_code=""34300"", metro_name=""Mountain Home, ID uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	11287
Daily Comet			Bush							29.7957633	-90.822871	LA	Thibodaux	Daily Comet	"#<struct CityMetro st=""LA"", city=""Thibodaux"", fips_state=""22"", fips_place=""75425"", cbsa_code=""26380"", metro_name=""Houma-Bayou Cane-Thibodaux, LA MSA"", metro_stature=""MSA"", pop_2007=201137, pop_2000=194477, pop_rank=203, pop_chg_pct_00_07=3.42, pop_chg_pct_avg=0.49, pop_at_or_above=230277798, pop_aoa_pct=75.5, metro_st=""LA"", metro_nickname=nil, csa_name=nil>"	14410
Macon Telegraph	Obama	Kerry					56510			32.8406946	-83.6324022	GA	Macon	Macon Telegraph	"#<struct CityMetro st=""GA"", city=""Macon"", fips_state=""13"", fips_place=""49000"", cbsa_code=""31420"", metro_name=""Macon, GA MSA"", metro_stature=""MSA"", pop_2007=229846, pop_2000=222368, pop_rank=187, pop_chg_pct_00_07=3.36, pop_chg_pct_avg=0.48, pop_at_or_above=226842728, pop_aoa_pct=74.3, metro_st=""GA"", metro_nickname="""", csa_name=""Macon-Warner Robins-Fort Valley, GA CSA"">"	94273
Beaumont Enterprise	McCain	Bush	Bush		GHWBush		45684			30.0860459	-94.1018461	TX	Beaumont	Beaumont Enterprise	"#<struct CityMetro st=""TX"", city=""Beaumont"", fips_state=""48"", fips_place=""07000"", cbsa_code=""13140"", metro_name=""Beaumont-Port Arthur, TX MSA"", metro_stature=""MSA"", pop_2007=376241, pop_2000=385090, pop_rank=131, pop_chg_pct_00_07=-2.3, pop_chg_pct_avg=-0.33, pop_at_or_above=210426892, pop_aoa_pct=69.0, metro_st=""TX"", metro_nickname=""Golden Triangle"", csa_name=nil>"	111485
Corpus Christi Caller Times	McCain	Kerry	Bush	Dole			53368			27.8005828	-97.396381	TX	Corpus Christi	Corpus Christi Caller Times	"#<struct CityMetro st=""TX"", city=""Corpus Christi"", fips_state=""48"", fips_place=""17000"", cbsa_code=""18580"", metro_name=""Corpus Christi, TX MSA"", metro_stature=""MSA"", pop_2007=414376, pop_2000=403280, pop_rank=115, pop_chg_pct_00_07=2.75, pop_chg_pct_avg=0.39, pop_at_or_above=204041453, pop_aoa_pct=66.9, metro_st=""TX"", metro_nickname="""", csa_name=""Corpus Christi-Kingsville, TX CSA"">"	277454
Victoria Advocate				Dole	GHWBush					28.8052674	-97.0035982	TX	Victoria	Victoria Advocate	"#<struct CityMetro st=""TX"", city=""Victoria"", fips_state=""48"", fips_place=""75428"", cbsa_code=""47020"", metro_name=""Victoria, TX MSA"", metro_stature=""MSA"", pop_2007=113797, pop_2000=111663, pop_rank=344, pop_chg_pct_00_07=1.91, pop_chg_pct_avg=0.27, pop_at_or_above=247339687, pop_aoa_pct=81.0, metro_st=""TX"", metro_nickname=nil, csa_name=nil>"	62044
