2007 Pop	2000 Pop	Rank	"%Pop Chg 
2000-2007"	"Pop
%Chg/yr"	"05 Pop
at or above"	"%05 Pop
at or above"	State	Metropolitan Statistical Area	Nickname(s)	Combined Statistical Area	US Population:	"305,186,613"
198791	174682	205	13.80%	1.97%	230675884	75.6%	NM	"Las Cruces, NM MSA"	Dona Ana County	
198719	193155	206	2.88%	0.41%	230874603	75.7%	SC	"Florence, SC MSA"		
198705	174706	207	13.74%	1.96%	231073308	75.7%	TX	"Tyler, TX MSA"	Smith County	"Tyler-Jacksonville, TX CSA"
197942	182791	208	8.29%	1.18%	231271250	75.8%	IN	"Elkhart-Goshen, IN MSA"		"South Bend-Elkhart-Mishawaka, IN-MI CSA"
195099	188831	209	3.32%	0.47%	231466349	75.8%	WI	"Racine, WI MSA"		"Milwaukee-Racine-Waukesha, WI CSA"
194944	155032	210	25.74%	3.68%	231661293	75.9%	AZ	"Lake Havasu City-Kingman, AZ MSA"	Mohave County	
193554	181607	211	6.58%	0.94%	231854847	76.0%	TN	"Johnson City, TN MSA"	The Tri-Cities	"Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA CSA"
192999	166814	212	15.70%	2.24%	232047846	76.0%	WA	"Bellingham, WA MSA"	Whatcom County	
192779	174021	213	10.78%	1.54%	232240625	76.1%	VA	"Charlottesville, VA MSA"		
192417	174367	214	10.35%	1.48%	232433042	76.2%	ND-MN	"Fargo, ND-MN MSA"	"Fargo-Moorhead, or F-M"	"Fargo-Wahpeton, ND-MN CSA"
192161	178541	215	7.63%	1.09%	232625203	76.2%	IN	"Lafayette, IN MSA"		"Lafayette-Frankfort, IN CSA"
191926	193568	216	-0.85%	-0.12%	232817129	76.3%	LA	"Lake Charles, LA MSA"		"Lake Charles-Jennings, LA CSA"
190557	160026	217	19.08%	2.73%	233007686	76.3%	AZ	"Yuma, AZ MSA"	Yuma County	
187405	166079	219	12.84%	1.83%	233195091	76.4%	GA	"Athens-Clarke County, GA MSA"		
185555	167392	220	10.85%	1.55%	233380646	76.5%	MN	"St. Cloud, MN MSA"		"Minneapolis-St. Paul-St. Cloud, MN-WI CSA"
