JuUm	14138826	0.701686	72
rasga	14731797	3.1935234	95
rasga	14731797	3.1935234	95
cdonahue	15316788	1.4592414	86
cdonahue	15316788	1.4592414	86
stephenfry	15439395	8.326046	98
stephenfry	15439395	8.326046	98
ehrenfoss	15940539	2.3230455	92
ehrenfoss	15940539	2.3230455	92
atulskulkarni	16032879	1.6352758	91
atulskulkarni	16032879	1.6352758	91
kcorrick	16272222	3.662856	98
kcorrick	16272222	3.662856	98
scifri	16817883	5.153919	71
scifri	16817883	5.153919	71
jdshipengrover	18138972	0.3486919	58
butchi_n	19785303	0.79849565	40
butchi_n	19785303	0.79849565	40
Periscopic	21695487	1.8847573	84
dgleich	24499773	0.47357503	75
BosomOfAbraham	59810703	0.534606	57
mandoescamilla	774234	2.321763	95
mandoescamilla	774234	2.321763	95
interrante	2841111	2.5460443	90
interrante	2841111	2.5460443	90
justgrimes	5038461	2.6313605	96
justgrimes	5038461	2.6313605	96
atul	5879952	4.5028114	99
atul	5879952	4.5028114	99
xplane	8055642	2.5171547	83
xplane	8055642	2.5171547	83
sansotto	8748192	0.8980382	72
sansotto	8748192	0.8980382	72
abutler	9160872	0.85727835	49
abutler	9160872	0.85727835	49
lpirola	9812952	1.3205276	82
lpirola	9812952	1.3205276	82
llimllib	11623272	2.6272526	99
llimllib	11623272	2.6272526	99
xiaoleil	12838512	0.36842304	76
salimv	12990132	0.5959649	90
cklemke	14073873	1.7014272	91
cklemke	14073873	1.7014272	91
jimhirshfield	14098668	2.5370731	90
jimhirshfield	14098668	2.5370731	90
damienstevens	14478573	2.6151571	66
damienstevens	14478573	2.6151571	66
SaintSal	14786943	2.1332939	84
twidox	15310545	1.5505185	63
twidox	15310545	1.5505185	63
deliprao	16984977	1.1974925	95
deliprao	16984977	1.1974925	95
jesspalmer	17089344	2.1815083	91
jesspalmer	17089344	2.1815083	91
etopianewsnow	17542209	1.2658519	62
etopianewsnow	17542209	1.2658519	62
AxelNordblom	26064450	0.6762091	73
samimustaklem	40350816	0.43069607	82
DodoIevenes	56766873	0.9816319	38
Process_Serving	62981241	1.8801237	47
veramaral	74790558	2.2082908	42
misc	78783	3.929395	98
misc	78783	3.929395	98
elze	944841	1.791058	86
elze	944841	1.791058	86
jpaine	9650622	2.5425272	88
jpaine	9650622	2.5425272	88
CarlosAraujo	10681752	1.4840986	68
venkisiyer	13486152	1.2510597	68
venkisiyer	13486152	1.2510597	68
rodneyray	14090238	0.4502837	48
rodneyray	14090238	0.4502837	48
kdykes	14095083	2.235583	85
kdykes	14095083	2.235583	85
Anwaraizer	14152596	2.187001	93
Anwaraizer	14152596	2.187001	93
clausatz	15734574	0.68248993	90
clausatz	15734574	0.68248993	90
_01010101	15761592	1.4948889	79
johnwohn	15801891	1.7278776	88
johnwohn	15801891	1.7278776	88
pedrocampos	16941264	1.634137	70
pedrocampos	16941264	1.634137	70
abaltman	17002482	0.6121921	68
SmartDataCo	17449590	2.7375283	86
SmartDataCo	17449590	2.7375283	86
najeebmirza	18257109	1.1514918	91
najeebmirza	18257109	1.1514918	91
ralph_robinett	18693273	0.34301743	97
ralph_robinett	18693273	0.34301743	97
BillPetti	29278059	1.2490339	90
hubindustries	62516241	1.3299067	75
nikete	10239	2.4438825	90
nikete	10239	2.4438825	90
lgharp	5769462	1.4096799	89
lgharp	5769462	1.4096799	89
timdavies	5878332	3.070908	93
timdavies	5878332	3.070908	93
bengee	9516642	2.1520896	91
bengee	9516642	2.1520896	91
rubylab	14096307	0.40528098	79
rubylab	14096307	0.40528098	79
vineetgupta	14141394	1.4469396	63
vineetgupta	14141394	1.4469396	63
BennettSmith	14236527	1.0004301	62
arunachalamev	15035496	0.8734056	81
arunachalamev	15035496	0.8734056	81
michaelpearsun	15150351	3.2922072	97
michaelpearsun	15150351	3.2922072	97
dami_an	15180105	0.601664	59
dami_an	15180105	0.601664	59
gappy3000	15783108	2.2815485	97
gappy3000	15783108	2.2815485	97
feziegler	18062253	0.52078336	59
DiggingIntoData	20724267	0.99126315	63
