head,pos,lemma,freq,disp,freq_sp,freq_wr,tag,head_orig,tag_lemma
expectation,NoC,expectation,13,0.92,,,expectation_NoC,expectation,expectation_NoC_expectation
Max,NoP,Max,13,0.87,,,Max_NoP,Max,Max_NoP_Max
SARA,NoP,SARA,13,0.57,,,SARA_NoP,SARA,SARA_NoP_SARA
pence,NoC,pence,13,0.82,,,pence_NoC,pence,pence_NoC_pence
positively,Adv,positively,13,0.95,,,positively_Adv,positively,positively_Adv_positively
solar,Adj,solar,13,0.81,,,solar_Adj,solar,solar_Adj_solar
human,NoC,human,13,0.91,,,human_NoC,human,human_NoC_human
tale,NoC,tales,13,0.9,,,tale_NoC,tale,tale_NoC_tales
ozone,NoC,ozone,13,0.62,,,ozone_NoC,ozone,ozone_NoC_ozone
misery,NoC,misery,13,0.93,,,misery_NoC,misery,misery_NoC_misery
concern,Verb,concerns,13,0.93,,,concern_Verb,concern,concern_Verb_concerns
93,Num,93,13,0.55,,,93_Num,93,93_Num_93
basket,NoC,basket,13,0.91,,,basket_NoC,basket,basket_NoC_basket
utterly,Adv,utterly,13,0.92,,,utterly_Adv,utterly,utterly_Adv_utterly
aggression,NoC,aggression,13,0.86,,,aggression_NoC,aggression,aggression_NoC_aggression
trap,NoC,trap,13,0.92,,,trap_NoC,trap,trap_NoC_trap
fantasy,NoC,fantasy,13,0.93,,,fantasy_NoC,fantasy,fantasy_NoC_fantasy
temporarily,Adv,temporarily,13,0.95,,,temporarily_Adv,temporarily,temporarily_Adv_temporarily
pig,NoC,pig,13,0.89,,,pig_NoC,pig,pig_NoC_pig
Maxwell,NoP,Maxwell,13,0.84,,,Maxwell_NoP,Maxwell,Maxwell_NoP_Maxwell
singer,NoC,singer,13,0.87,,,singer_NoC,singer,singer_NoC_singer
counselling,NoC,counselling,13,0.85,,,counselling_NoC,counselling,counselling_NoC_counselling
name,Verb,name,13,0.96,,,name_Verb,name,name_Verb_name
overall,Adv,overall,13,0.92,,,overall_Adv,overall,overall_Adv_overall
tie,NoC,ties,13,0.92,,,tie_NoC,tie,tie_NoC_ties
organise,Verb,organise,13,0.93,,,organise_Verb,organise,organise_Verb_organise
suffering,NoC,suffering,13,0.92,,,suffering_NoC,suffering,suffering_NoC_suffering
inclined,Adj,inclined,13,0.94,,,inclined_Adj,inclined,inclined_Adj_inclined
sin,NoC,sin,13,0.89,,,sin_NoC,sin,sin_NoC_sin
guarantee,Verb,guaranteed,13,0.94,,,guarantee_Verb,guarantee,guarantee_Verb_guaranteed
minus,Prep,minus,13,0.74,,,minus_Prep,minus,minus_Prep_minus
let alone,Prep,let alone,13,0.95,,,let alone_Prep,let alone,let alone_Prep_let alone
within,Adv,within,13,0.94,,,within_Adv,within,within_Adv_within
rush,NoC,rush,13,0.92,,,rush_NoC,rush,rush_NoC_rush
breast,NoC,breasts,13,0.85,,,breast_NoC,breast,breast_NoC_breasts
Austria,NoP,Austria,13,0.86,,,Austria_NoP,Austria,Austria_NoP_Austria
selective,Adj,selective,13,0.9,,,selective_Adj,selective,selective_Adj_selective
Denmark,NoP,Denmark,13,0.9,,,Denmark_NoP,Denmark,Denmark_NoP_Denmark
objection,NoC,objections,13,0.93,,,objection_NoC,objection,objection_NoC_objections
Rover,NoP,Rover,13,0.78,,,Rover_NoP,Rover,Rover_NoP_Rover
count,Verb,counted,13,0.95,,,count_Verb,count,count_Verb_counted
intermediate,Adj,intermediate,13,0.9,,,intermediate_Adj,intermediate,intermediate_Adj_intermediate
suite,NoC,suite,13,0.9,,,suite_NoC,suite,suite_NoC_suite
linear,Adj,linear,13,0.84,,,linear_Adj,linear,linear_Adj_linear
paint,Verb,paint,13,0.91,,,paint_Verb,paint,paint_Verb_paint
needle,NoC,needle,13,0.77,,,needle_NoC,needle,needle_NoC_needle
frown,Verb,frowned,13,0.8,,,frown_Verb,frown,frown_Verb_frowned
diesel,NoC,diesel,13,0.74,,,diesel_NoC,diesel,diesel_NoC_diesel
dependence,NoC,dependence,13,0.89,,,dependence_NoC,dependence,dependence_NoC_dependence
detect,Verb,detect,13,0.9,,,detect_Verb,detect,detect_Verb_detect
substance,NoC,substances,13,0.86,,,substance_NoC,substance,substance_NoC_substances
Wimbledon,NoP,Wimbledon,13,0.81,,,Wimbledon_NoP,Wimbledon,Wimbledon_NoP_Wimbledon
Loch,NoC,Loch,13,0.74,,,Loch_NoC,Loch,Loch_NoC_Loch
rely,Verb,relied,13,0.89,,,rely_Verb,rely,rely_Verb_relied
jeans,NoC,jeans,13,0.89,,,jeans_NoC,jeans,jeans_NoC_jeans
partially,Adv,partially,13,0.93,,,partially_Adv,partially,partially_Adv_partially
mass,NoC,masses,13,0.89,,,mass_NoC,mass,mass_NoC_masses
despair,NoC,despair,13,0.91,,,despair_NoC,despair,despair_NoC_despair
installation,NoC,installation,13,0.86,,,installation_NoC,installation,installation_NoC_installation
Somerset,NoP,Somerset,13,0.87,,,Somerset_NoP,Somerset,Somerset_NoP_Somerset
toward,Prep,toward,13,0.9,,,toward_Prep,toward,toward_Prep_toward
crowd,NoC,crowds,13,0.93,,,crowd_NoC,crowd,crowd_NoC_crowds
run,NoC,runs,13,0.86,,,run_NoC,run,run_NoC_runs
barn,NoC,barn,13,0.85,,,barn_NoC,barn,barn_NoC_barn
construct,Verb,construct,13,0.91,,,construct_Verb,construct,construct_Verb_construct
date,Verb,dated,13,0.84,,,date_Verb,date,date_Verb_dated
bureaucracy,NoC,bureaucracy,13,0.75,,,bureaucracy_NoC,bureaucracy,bureaucracy_NoC_bureaucracy
terribly,Adv,terribly,13,0.91,,,terribly_Adv,terribly,terribly_Adv_terribly
