head,pos,lemma,freq,disp,freq_sp,freq_wr,tag,head_orig,tag_lemma
the,Det,the,61847,0.98,39605,64420,the_Det,the,the_Det_the
of,Prep,of,29391,0.97,14550,31109,of_Prep,of,of_Prep_of
and,Conj,and,26817,0.99,25210,27002,and_Conj,and,and_Conj_and
a,Det,a,21626,0.99,18637,21972,a_Det,a,a_Det_a
in,Prep,in,18214,0.98,11609,18978,in_Prep,in,in_Prep_in
to,Inf,to,16284,0.99,14912,16442,to_Inf,to,to_Inf_to
it,Pron,it,10875,0.95,24508,9298,it_Pron,it,it_Pron_it
be,Verb,is,9982,0.96,10164,9961,be_Verb,be,be_Verb_is
to,Prep,to,9343,0.99,6950,9620,to_Prep,to,to_Prep_to
be,Verb,was,9236,0.96,8097,9368,be_Verb,be,be_Verb_was
I,Pron,I,8875,0.89,31893,7736,I_Pron,I,I_Pron_I
for,Prep,for,8412,0.98,6239,8664,for_Prep,for,for_Prep_for
that,Conj,that,7308,0.97,7246,7315,that_Conj,that,that_Conj_that
you,Pron,you,6954,0.88,25957,4755,you_Pron,you,you_Pron_you
he,Pron,he,6810,0.93,7277,6756,he_Pron,he,he_Pron_he
be,Verb,be,6644,0.98,5790,6742,be_Verb,be,be_Verb_be
with,Prep,with,6575,0.99,4446,6821,with_Prep,with,with_Prep_with
I,Pron,i,,,29448,6494,I_Pron,I,I_Pron_i
on,Prep,on,6475,0.97,5659,6569,on_Prep,on,on_Prep_on
by,Prep,by,5096,0.96,1663,5493,by_Prep,by,by_Prep_by
at,Prep,at,4790,0.98,4115,4868,at_Prep,at,at_Prep_at
have,Verb,have,4735,0.97,7488,4416,have_Verb,have,have_Verb_have
be,Verb,are,4707,0.96,4663,4712,be_Verb,be,be_Verb_are
not,Neg,not,4626,0.98,4693,4618,not_Neg,not,not_Neg_not
this,DetP,this,4623,0.97,5627,4506,this_DetP,this,this_DetP_this
's,Gen,'s,4599,0.97,1606,4945,'s_Gen,'s,'s_Gen_'s
but,Conj,but,4577,0.97,6366,4370,but_Conj,but,but_Conj_but
have,Verb,had,4452,0.94,2835,4639,have_Verb,have,have_Verb_had
they,Pron,they,4332,0.95,9333,3754,they_Pron,they,they_Pron_they
his,Det,his,4285,0.94,1333,4627,his_Det,his,his_Det_his
from,Prep,from,4134,0.98,2178,4360,from_Prep,from,from_Prep_from
she,Pron,she,3801,0.86,4136,3762,she_Pron,she,she_Pron_she
that,DetP,that,3792,0.9,14252,2581,that_DetP,that,that_DetP_that
which,DetP,which,3719,0.96,2208,3893,which_DetP,which,which_DetP_which
or,Conj,or,3707,0.96,3357,3747,or_Conj,or,or_Conj_or
we,Pron,we,3578,0.92,10448,2784,we_Pron,we,we_Pron_we
an,Det,an,3430,0.97,1846,3613,an_Det,an,an_Det_an
not,Neg,n't,3328,0.87,12212,2300,not_Neg,not,not_Neg_n't
be,Verb,were,3227,0.98,2749,3282,be_Verb,be,be_Verb_were
be,Verb,'s,3190,0.85,15818,1729,be_Verb,be,be_Verb_'s
as,Conj,as,3006,0.98,1558,3174,as_Conj,as,as_Conj_as
do,Verb,do,2802,0.9,165,3,do_Verb,do,do_Verb_do
be,Verb,been,2686,0.98,2082,2756,be_Verb,be,be_Verb_been
their,Det,their,2608,0.97,1284,2761,their_Det,their,their_Det_their
have,Verb,has,2593,0.95,1598,2708,have_Verb,have,have_Verb_has
would,VMod,would,2551,0.97,3278,2467,would_VMod,would,would_VMod_would
there,Ex,there,2532,0.97,4067,2354,there_Ex,there,there_Ex_there
what,DetP,what,2493,0.92,7313,1936,what_DetP,what,what_DetP_what
will,VMod,will,2470,0.95,552,116,will_VMod,will,will_VMod_will
all,DetP,all,2436,0.98,3644,2297,all_DetP,all,all_DetP_all
if,Conj,if,2369,0.96,4544,2118,if_Conj,if,if_Conj_if
can,VMod,can,2354,0.96,3588,2211,can_VMod,can,can_VMod_can
her,Det,her,2183,0.87,644,2362,her_Det,her,her_Det_her
say,Verb,said,2087,0.9,2685,2018,say_Verb,say,say_Verb_said
who,Pron,who,2055,0.98,1780,2086,who_Pron,who,who_Pron_who
one,Num,one,1962,0.97,3034,1839,one_Num,one,one_Num_one
so,Adv,so,1893,0.93,5067,1526,so_Adv,so,so_Adv_so
up,Adv,up,1795,0.95,2891,1668,up_Adv,up,up_Adv_up
as,Prep,as,1774,0.96,916,1873,as_Prep,as,as_Prep_as
they,Pron,them,1733,0.96,3126,1572,they_Pron,they,they_Pron_them
some,DetP,some,1712,0.98,1986,1681,some_DetP,some,some_DetP_some
when,Conj,when,1712,0.97,2255,1649,when_Conj,when,when_Conj_when
could,VMod,could,1683,0.96,1949,1653,could_VMod,could,could_VMod_could
he,Pron,him,1649,0.9,1348,1684,he_Pron,he,he_Pron_him
into,Prep,into,1634,0.97,1067,1700,into_Prep,into,into_Prep_into
its,Det,its,1632,0.95,338,1782,its_Det,its,its_Det_its
then,Adv,then,1595,0.94,3474,1378,then_Adv,then,then_Adv_then
two,Num,two,1561,0.97,2710,1428,two_Num,two,two_Num_two
out,Adv,out,1542,0.96,2316,1452,out_Adv,out,out_Adv_out
time,NoC,time,1542,0.98,1819,1509,time_NoC,time,time_NoC_time
my,Det,my,1525,0.93,2278,1438,my_Det,my,my_Det_my
about,Prep,about,1524,0.96,2730,1384,about_Prep,about,about_Prep_about
do,Verb,did,1434,0.92,3368,1210,do_Verb,do,do_Verb_did
your,Det,your,1383,0.93,2859,1212,your_Det,your,your_Det_your
now,Adv,now,1382,0.95,2864,1211,now_Adv,now,now_Adv_now
I,Pron,me,1364,0.9,2444,1239,I_Pron,I,I_Pron_me
no,Det,no,1343,0.98,1102,1371,no_Det,no,no_Det_no
other,Adj,other,1336,0.97,1313,1339,other_Adj,other,other_Adj_other
only,Adv,only,1298,0.98,1079,1323,only_Adv,only,only_Adv_only
just,Adv,just,1277,0.92,3820,982,just_Adv,just,just_Adv_just
more,Adv,more,1275,0.96,624,1351,more_Adv,more,more_Adv_more
these,DetP,these,1254,0.95,1269,1252,these_DetP,these,these_DetP_these
also,Adv,also,1248,0.95,556,1328,also_Adv,also,also_Adv_also
people,NoC,people,1241,0.95,2063,1146,people_NoC,people,people_NoC_people
know,Verb,know,1233,0.86,152,3,know_Verb,know,know_Verb_know
any,DetP,any,1220,0.96,1484,1189,any_DetP,any,any_DetP_any
first,Ord,first,1193,0.98,957,1220,first_Ord,first,first_Ord_first
see,Verb,see,1186,0.93,2507,1033,see_Verb,see,see_Verb_see
very,Adv,very,1165,0.95,2373,1025,very_Adv,very,very_Adv_very
new,Adj,new,1145,0.95,603,1208,new_Adj,new,new_Adj_new
may,VMod,may,1135,0.94,480,1211,may_VMod,may,may_VMod_may
well,Adv,well,1119,0.85,5310,634,well_Adv,well,well_Adv_well
should,VMod,should,1112,0.97,1173,1105,should_VMod,should,should_VMod_should
she,Pron,her,1085,0.85,800,1118,she_Pron,she,she_Pron_her
like,Prep,like,1064,0.94,1762,983,like_Prep,like,like_Prep_like
than,Conj,than,1033,0.98,683,1074,than_Conj,than,than_Conj_than
how,Adv,how,1016,0.95,1888,915,how_Adv,how,how_Adv_how
get,Verb,get,995,0.9,3464,709,get_Verb,get,get_Verb_get
way,NoC,way,958,0.97,1252,925,way_NoC,way,way_NoC_way
one,Pron,one,953,0.93,2532,770,one_Pron,one,one_Pron_one
our,Det,our,950,0.96,1253,914,our_Det,our,our_Det_our
make,Verb,made,943,0.98,539,990,make_Verb,make,make_Verb_made
get,Verb,got,932,0.82,5021,459,get_Verb,get,get_Verb_got
after,Prep,after,927,0.96,539,972,after_Prep,after,after_Prep_after
think,Verb,think,916,0.87,3977,562,think_Verb,think,think_Verb_think
between,Prep,between,903,0.95,338,968,between_Prep,between,between_Prep_between
many,DetP,many,902,0.96,654,931,many_DetP,many,many_DetP_many
year,NoC,years,902,0.97,704,925,year_NoC,year,year_NoC_years
