

GCT-PH1: Population, Housing Units, Area, and Density:  2000
Data Set: Census 2000 Summary File 1 (SF 1) 100-Percent Data
Geographic Area: United States -- County by State, and for Puerto Rico
"NOTE:  For information on confidentiality protection, nonsampling error, definitions, and count corrections see http://factfinder.census.gov/home/en/datanotes/expsf1u.htm.
 
"
"Geographic area","
Population","
Housing
 units","
Area in square miles",,,"
Density per square
mile of land area",
,,,"
Total
area","
Water
area","
Land
area","
Population","
Housing
 units"
" "," "," "," "," "," "," "," "
"Solano County","394,542","134,513","906.67","77.48","829.19","475.8","162.2"
"Sonoma County","458,614","183,153","1,768.23","192.35","1,575.88","291.0","116.2"
"Stanislaus County","446,997","150,807","1,514.67","20.88","1,493.79","299.2","101.0"
"Sutter County","78,930","28,319","608.58","6.04","602.54","131.0","47.0"
"Tehama County","56,039","23,547","2,962.27","11.28","2,950.99","19.0","8.0"
"Trinity County","13,022","7,980","3,207.54","28.93","3,178.61","4.1","2.5"
"Tulare County","368,021","119,639","4,839.09","15.12","4,823.97","76.3","24.8"
"Tuolumne County","54,501","28,336","2,274.34","38.93","2,235.41","24.4","12.7"
"Ventura County","753,197","251,712","2,208.20","362.90","1,845.30","408.2","136.4"
"Yolo County","168,660","61,587","1,022.89","9.62","1,013.27","166.5","60.8"
"Yuba County","60,219","22,636","643.73","13.04","630.69","95.5","35.9"
" "," "," "," "," "," "," "," "
"Colorado","4,301,261","1,808,037","104,093.57","376.04","103,717.53","41.5","17.4"
"Adams County","363,857","132,594","1,197.71","5.78","1,191.93","305.3","111.2"
"Alamosa County","14,966","6,088","723.53","0.78","722.74","20.7","8.4"
"Arapahoe County","487,967","196,835","805.43","2.29","803.14","607.6","245.1"
"Archuleta County","9,898","6,212","1,355.48","5.26","1,350.22","7.3","4.6"
"Baca County","4,517","2,364","2,557.09","1.37","2,555.72","1.8","0.9"
"Bent County","5,998","2,366","1,541.12","27.22","1,513.90","4.0","1.6"
"Boulder County","291,288","119,900","751.37","8.91","742.46","392.3","161.5"
"Chaffee County","16,242","8,392","1,015.01","1.55","1,013.45","16.0","8.3"
"Cheyenne County","2,231","1,105","1,781.37","0.02","1,781.35","1.3","0.6"
"Clear Creek County","9,322","5,128","396.46","1.01","395.45","23.6","13.0"
"Conejos County","8,400","3,886","1,290.87","3.65","1,287.22","6.5","3.0"
"Costilla County","3,663","2,202","1,230.44","3.34","1,227.10","3.0","1.8"
"Crowley County","5,518","1,542","800.33","11.34","788.99","7.0","2.0"
"Custer County","3,503","2,989","739.90","1.02","738.89","4.7","4.0"
"Delta County","27,834","12,374","1,148.52","6.42","1,142.11","24.4","10.8"
"Denver County","554,636","251,435","154.94","1.59","153.35","3,616.8","1,639.6"
"Dolores County","1,844","1,193","1,068.09","1.13","1,066.97","1.7","1.1"
"Douglas County","175,766","63,333","842.75","2.64","840.11","209.2","75.4"
"Eagle County","41,659","22,111","1,691.80","3.93","1,687.88","24.7","13.1"
"Elbert County","19,872","7,113","1,850.89","0.11","1,850.78","10.7","3.8"
"El Paso County","516,929","202,428","2,129.56","3.11","2,126.45","243.1","95.2"
"Fremont County","46,145","17,145","1,533.95","1.02","1,532.93","30.1","11.2"
"Garfield County","43,791","17,336","2,955.76","8.70","2,947.06","14.9","5.9"
"Gilpin County","4,757","2,929","150.25","0.39","149.87","31.7","19.5"
"Grand County","12,442","10,894","1,869.60","22.93","1,846.67","6.7","5.9"
"Gunnison County","13,956","9,135","3,259.75","20.93","3,238.81","4.3","2.8"
"Hinsdale County","790","1,304","1,123.14","5.46","1,117.68","0.7","1.2"
"Huerfano County","7,862","4,599","1,593.24","2.38","1,590.87","4.9","2.9"
"Jackson County","1,577","1,145","1,620.95","7.74","1,613.21","1.0","0.7"
"Jefferson County","527,056","212,488","778.06","5.97","772.09","682.6","275.2"
"Kiowa County","1,622","817","1,785.76","14.76","1,770.99","0.9","0.5"
"Kit Carson County","8,011","3,430","2,161.56","0.69","2,160.87","3.7","1.6"
"Lake County","7,812","3,913","383.90","7.01","376.89","20.7","10.4"
"La Plata County","43,941","20,765","1,699.93","7.78","1,692.15","26.0","12.3"
"Larimer County","251,494","105,392","2,633.86","32.56","2,601.30","96.7","40.5"
"Las Animas County","15,207","7,629","4,775.42","2.79","4,772.63","3.2","1.6"
"Lincoln County","6,087","2,406","2,586.39","0.30","2,586.09","2.4","0.9"
"Logan County","20,504","8,424","1,844.86","6.33","1,838.52","11.2","4.6"
"Mesa County","116,255","48,427","3,341.11","13.36","3,327.75","34.9","14.6"
"Mineral County","831","1,119","877.70","1.99","875.72","0.9","1.3"
"Moffat County","13,184","5,635","4,750.94","8.69","4,742.25","2.8","1.2"
"Montezuma County","23,830","10,497","2,039.97","3.34","2,036.63","11.7","5.2"
"Montrose County","33,432","14,202","2,242.57","1.96","2,240.61","14.9","6.3"
"Morgan County","27,171","10,410","1,293.87","8.51","1,285.36","21.1","8.1"
"Otero County","20,311","8,813","1,269.74","6.89","1,262.86","16.1","7.0"
"Ouray County","3,742","2,146","542.21","1.74","540.47","6.9","4.0"
"Park County","14,523","10,697","2,210.69","10.00","2,200.69","6.6","4.9"
"Phillips County","4,480","2,014","687.74","0.12","687.62","6.5","2.9"
"Pitkin County","14,872","10,096","973.23","2.81","970.42","15.3","10.4"
"Prowers County","14,483","5,977","1,644.35","3.97","1,640.38","8.8","3.6"
"Pueblo County","141,472","58,926","2,397.73","9.04","2,388.69","59.2","24.7"
"Rio Blanco County","5,986","2,855","3,222.91","1.94","3,220.97","1.9","0.9"
"Rio Grande County","12,413","6,003","912.14","0.53","911.60","13.6","6.6"
"Routt County","19,690","11,217","2,368.02","6.43","2,361.59","8.3","4.7"
"Saguache County","5,917","3,087","3,170.25","1.82","3,168.44","1.9","1.0"
"San Juan County","558","632","388.29","0.86","387.42","1.4","1.6"
"San Miguel County","6,594","5,197","1,288.49","1.98","1,286.50","5.1","4.0"
