===========================================================================
FHWA Route Log and Finder List: Table 1
Table 1: Main Routes of the Dwight D. Eisenhower National System Of Interstate and Defense Highways as of October 31, 2002

InterstateRoute	State	Total Miles	Net Miles	Howard-CramerMiles	Sections103(c)(4)(A)& ISTEAMiles	OverlapMiles& Route	MajorCities Served(Pop. larger than 5,000)
H-201	Hawaii	4.10	4.10	-	4.10	-	Honolulu
I-105	California	17.32	17.32	7.00	-	-	Los Angeles* Inglewood* South Gate* Downey
Oregon	3.49	3.49	-	-	-	Eugene	
I-110	California	20.43	20.43	-	-	-	Los Angeles* Pasadena* Hawthorne* Gardena* Carson
Texas	0.92	0.92	-	-	-	El Paso	
Louisiana	8.89	8.89	-	-	-	Baton Rouge	
Mississippi	4.10	4.10	-	-	-	Biloxi-Gulfport	
Florida	6.94	6.94	-	-	-	Pensacola	
I-115	Montana	1.19	1.19	-	-	-	Butte
I-124	Tennessee	1.97	1.97	-	-	-	Chattanooga
I-126	S. Carolina	3.68	3.68	-	-	-	Columbia
I-129	Iowa	0.27	0.27	-	-	-	Sioux City
Nebraska	3.21	3.21	-	-	-	Sioux City	
I-135	Kansas	95.74	95.74	-	-	-	Wichita* Salina
I-140	Tennessee	11.17	11.17	-	11.17	-	Knoxville, Alcoa
I-155	Illinois	32.13	32.13	-	32.13	-	Lincoln, Peoria
Missouri	10.84	10.84	-	-	-	Caruthersville	
Tennessee	15.93	15.93	-	-	-	Dyersburg	
I-164	Indiana	21.24	21.24	-	-	-	Evansville
I-165	Alabama	4.90	4.90	-	-	-	Mobile* Prichard
I-170	Missouri	11.17	11.17	-	4.29	-	St. Louis* Hazelwood* Berkeley* Clayton* University City* Richmond Heights
I-172	Illinois	19.69	19.69	-	19.69	-	Quincy
I-175	Florida	1.44	1.44	-	1.44	-	St. Petersburg
I-176	Pennsylvania	11.33	11.33	-	-	-	Reading
I-180	Wyoming	1.09	1.09	-	-	-	Cheyenne
Nebraska	3.18	3.18	-	-	-	Lincoln	
Illinois	13.19	13.19	-	-	-	None	
Pennsylvania	28.85	28.85	-	28.85	-	Williamsport* Montoursville	
I-181	Tennessee	23.85	23.85	-	23.85	-	Kingsport, Johnson City
I-182	Washington	15.19	15.19	-	-	-	Richland, Pasco, Kennewick
I-184	Idaho	3.62	3.62	-	-	-	Boise
I-185	Georgia	49.30	49.30	-	5.50	-	Columbus
S. Carolina	17.70	17.70	-	14.50	-	Greenville	
I-189	Vermont	1.49	1.49	-	-	-	Burlington
I-190	South Dakota	1.72	1.72	-	-	-	Rapid City
Illinois	3.07	3.07	-	3.07	-	Chicago* Park Ridge* Schiller Park* Harwood Heights	
New York	28.34	28.34	-	-	-	Buffalo, Niagara Falls	
Massachusetts	19.26	19.26	-	-	-	Worcester, Leominster	
I-194	North Dakota	1.20	1.20	-	-	-	Bismarck-Mandan
Michigan	3.38	3.38	-	-	-	Battle Creek	
I-195	Florida	4.42	4.42	-	-	-	Miami* Miami Beach
Virginia	3.24	3.24	-	-	-	Richmond	
Maryland	4.71	4.71	2.20	1.40	-	Baltimore* Halethorpe* Linthicum	
New Jersey	34.17	34.17	27.30	-	-	Trenton, Asbury Park	
Rhode Island	3.82	3.82	-	-	-	Providence* East Providence	
Massachusetts	40.73	40.73	-	14.28	-	Fall River* SomersetNew Bedford* Fairhaven	
Maine	1.55	1.55	-	-	-	Biddeford-Saco	
I-196	Michigan	80.65	80.65	-	-	-	Benton Harbor, Holland, Grand Rapids* Grandville* Wyoming
I-205	California	12.97	12.97	-	-	-	None
Oregon	26.07	26.07	-	-	-	Portland* Milwaukie* Parkrose	
Washington	10.57	10.57	-	-	-	Vancouver	
I-210	California	48.72	48.72	-	-	-	Los Angeles* Glendale* Pasadena* Arcadia
Louisiana	12.40	12.40	-	-	-	Lake Charles	
I-215	California	54.50	54.50	-	54.50	-	San Bernardino, Riverside
Utah	29.02	29.02	-	-	-	Salt Lake City* Millcreek* Holladay* Cottonwood	
I-220	Louisiana	17.62	17.62	-	-	-	Shreveport* Bossier City
Mississippi	12.01	12.01	-	-	-	Jackson	
I-225	Colorado	12.00	12.00	-	-	-	Denver* Aurora
I-229	Missouri	14.97	14.97	-	-	-	St. Joseph
South Dakota	11.33	11.33	-	-	-	Sioux Falls	
I-235	Oklahoma	5.36	5.36	-	1.54	-	Oklahoma City
Kansas	16.52	16.52	-	-	-	Wichita	
Iowa	13.78	13.78	-	-	-	Des Moines	
I-238	California	2.23	2.23	-	2.23	-	Hayward
I-240	Oklahoma	16.22	16.22	-	4.35	-	Oklahoma City
Tennessee	19.27	19.27	-	-	-	Memphis	
N. Carolina	9.14	9.14	-	6.92	-	Asheville	
I-244	Oklahoma	15.75	15.75	-	-	-	Tulsa
I-255	Missouri	3.77	3.77	-	-	-	St. Louis* East St. Louis
Illinois	27.05	27.05	-	-	-	St. Louis* East St. Louis	
I-264	Kentucky	22.93	22.93	-	-	-	Louisville* Shively* St. Matthews
Virginia	25.07	25.07	-	12.00	-	Norfolk* Portsmouth	
I-265	Kentucky	24.48	24.48	-	21.20	-	Louisville* Okolona* Jeffersontown
Indiana	6.73	6.73	-	-	-	New Albany	
I-270	Colorado	5.31	5.31	-	-	-	Denver* Commerce City
Missouri	35.62	35.62	-	-	-	St. Louis* Florissant* Ferguson* Bridgeton* Kirkwood	
Illinois	14.97	14.97	-	-	-	St. Louis* East St. Louis* Granite City	
Ohio	54.97	54.97	-	-	-	Columbus* Whitehall* Gahanna* Upper Arlington* Grove City	
Maryland	34.40	34.40	-	-	-	Rockville, Gaithersburg, Frederick	
I-271	Ohio	46.06	40.22	-	-	5.84 Mi. on I-480	Cleveland* Maple Heights* Shaker Heights* South Euclid
I-275	Florida	60.64	60.64	-	-	-	St. Petersburg* Gulfport* Pinellas ParkTampa
Tennessee	2.98	2.98	-	-	-	Knoxville	
Kentucky	24.58	24.58	-	-	-	Covington- Newport	
Ohio	55.97	52.52	-	-	3.45 Mi. on I-74	Cincinnati* Sharonville* Springdale	
Indiana	3.16	3.16	-	-	-	None	
Michigan	29.97	29.97	-	-	-	Detroit* Romulus* Westland	
I-276	Pennsylvania	32.65	32.65	-	-	-	Philadelphia* King of Prussia* Norristown
I-277	N. Carolina	4.41	4.41	-	1.72	-	Charlotte
Ohio	4.14	4.14	-	-	-	Akron	
I-278	New Jersey	2.00	2.00	-	-	-	Elizabeth
New York	33.62	33.62	-	-	-	New York City*Staten Island*Brooklyn*Queens*Bronx	
I-279	Pennsylvania	19.52	19.52	-	-	-	Pittsburgh
I-280	California	57.22	57.22	-	-	-	San Francisco* Daly City* San Bruno* Mountain View* San Jose
Iowa	9.38	9.38	-	-	-	Davenport	
Illinois	17.60	8.21	-	-	9.39 Mi. on I-74	Rock Island	
Ohio	12.41	12.41	-	-	-	Toledo	
New Jersey	17.85	17.85	-	-	-	Orange, West Orange, East Orange, Newark	
I-283	Pennsylvania	2.91	2.91	-	-	-	Harrisburg
I-285	Georgia	63.98	62.77	-	-	1.21 Mi. on I-85	Atlanta
I-287	New Jersey	67.54	67.54	-	-	-	Northeast New Jersey* Somerville* Morristown* Pompton Plain* Oakland
New York	31.18	11.98	-	-	19.20 Mi. on I-87	New York City* Suffern* Spring Valley* White Plains* Tarrytown* Port Chester	
I-290	Illinois	29.84	29.84	-	-	-	Chicago* Schaumburg* Elmhurst* Maywood* Cicero
New York	9.80	9.80	-	-	-	Buffalo* Town of Tonawanda* Amherst	
Massachusetts	20.16	20.16	-	-	-	Worcester	
I-291	Connecticut	6.02	6.02	-	-	-	Hartford
Massachusetts	5.44	5.44	-	-	-	Springfield	
I-293	New Hampshire	11.18	11.18	-	5.68	-	Manchester
I-294	Illinois	53.42	48.10	-	-	5.32 Mi. on I-80	Chicago* Harvey* Westchester* Oak Lawn
I-295	Florida	35.51	35.51	-	-	-	Jacksonville
Virginia	52.56	52.56	-	-	-	Richmond, Petersburg-Colonial Heights	
District of Columbia	7.25	7.25	-	-	-	Washington, D.C.	
Maryland	0.80	0.80	-	-	-	Washington, D.C.	
Delaware	5.71	5.71	-	-	-	Wilmington	
New Jersey	68.06	68.06	-	-	-	Camden, Trenton	
New York	9.10	9.10	-	-	-	New York City* Queens* Bronx	
Rhode Island	22.35	22.35	-	-	-	Providence* Cranston	
Massachusetts	4.23	4.23	-	-	-	Providence (R.I.)	
Maine	11.02	11.02	-	-	-	Portland	
I-296	Michigan	3.43	3.43	-	-	-	Grand Rapids
I-305	California	8.44	8.44	-	-	-	Sacramento
I-310	Louisiana	11.25	11.25	-	-	-	New Orleans
I-315	Montana	0.83	0.83	-	-	-	Great Falls
I-335	Kansas	50.13	50.13	-	50.13	-	Topeka, Emporia
I-345	Texas	1.40	1.40	-	-	-	Dallas
I-355	Illinois	20.01	20.01	-	20.01	-	Chicago* Bolingbrook* Downers Grove* Glen Ellyn* Lombard
I-359	Alabama	2.30	2.30	-	-	-	Tuscaloosa
I-370	Maryland	3.13	3.13	1.18	-	-	Washington, D.C.* Rockville* Gaithersburg
I-375	Florida	1.34	1.34	-	1.34	-	St. Petersburg
Michigan	1.06	1.06	-	-	-	Detroit	
I-376	Pennsylvania	14.70	14.70	-	-	-	Pittsburgh* Monroeville* Wilkinsburg
I-380	California	3.30	3.30	-	-	-	San Francisco* San Bruno
Iowa	73.05	73.05	-	-	-	Waterloo, Cedar Rapids, Iowa City	
Pennsylvania	24.76	24.76	-	-	-	Scranton	
I-381	Virginia	1.67	1.67	-	-	-	Bristol
I-384	Connecticut	8.20	8.20	-	-	-	Hartford* East Hartford* Manchester
I-385	S. Carolina	42.16	42.16	-	36.00	-	Greenville* Laurens
I-390	New York	76.06	76.06	60.50	-	-	Rochester
I-391	Massachusetts	4.46	4.46	-	-	-	Chicopee, Holyoke
I-393	New Hampshire	4.60	4.60	-	-	-	Concord
I-394	Minnesota	9.75	9.75	-	-	-	Minneapolis* St. Louis Park* Golden Valley
I-395	Florida	1.29	1.29	-	-	-	Miami
Virginia	9.91	9.91	-	-	-	Arlington, Alexandria	
District of Columbia	3.48	3.48	-	-	-	Washington, D.C.	
Maryland	1.98	1.98	-	-	-	Baltimore	
Connecticut	54.69	54.69	-	54.69	-	Norwich	
Massachusetts	11.91	11.91	-	11.91	-	None	
Maine	4.99	4.99	-	-	-	Bangor	
I-405	California	72.15	72.15	-	-	-	Los Angeles* Irvine* Costa Mesa* Huntingdon Beach* Long Beach* Torrance* Inglewood* Santa Monica
Oregon	3.53	3.53	-	-	-	Portland	
Washington	30.30	30.30	-	-	-	Seattle* Renton* Bellevue	
I-410	Texas	49.49	49.49	-	9.93	-	San Antonio
I-430	Arkansas	12.93	12.93	-	-	-	Little Rock
I-435	Kansas	28.03	28.03	-	-	-	Kansas City* Leawood* Overland Park* Shawnee
Missouri	52.78	52.78	-	-	-	Kansas City* Grandview* Raytown* Independence* Gladstone	
I-440	Arkansas	9.96	9.96	-	9.96	-	Little Rock
Tennessee	7.64	7.64	-	-	-	Nashville	
N. Carolina	16.40	16.40	-	16.40	-	Raleigh	
I-444	Oklahoma	2.51	2.51	-	-	-	Tulsa
I-459	Alabama	32.80	32.80	-	-	-	Birmingham* Bessemer* Bluff Park* Homewood
I-464	Virginia	4.71	4.71	-	-	-	Norfolk
I-465	Indiana	57.51	57.51	-	5.03	-	Indianapolis
I-469	Indiana	30.83	30.83	-	30.83	-	Ft. Wayne, New Haven
I-470	Kansas	13.72	13.72	-	-	-	Topeka
Missouri	16.72	16.72	-	-	-	Kansas City* Lee's Summit* Independence	
Ohio	6.69	6.69	-	-	-	Wheeling (W.Va.-Ohio)	
West Virginia	3.94	3.94	-	-	-	Wheeling	
I-471	Kentucky	5.02	5.02	-	-	-	Newport
Ohio	0.73	0.73	-	-	-	Cincinnati	
I-474	Illinois	14.88	14.88	-	-	-	Peoria
I-475	Georgia	15.83	15.83	-	-	-	Macon
Ohio	20.37	20.37	-	-	-	Toledo	
Michigan	16.99	16.99	-	-	-	Flint	
I-476	Pennsylvania	129.61	129.61	-	110.00	-	Philadelphia* Ridley Park* Marple* Broomall* Conshohocken
I-478	New York	2.14	2.14	-	2.14	-	New York City* Brooklyn* Manhattan
I-480	Nebraska	4.15	4.15	-	-	-	Omaha
Iowa	0.75	0.75	-	-	-	Council Bluffs	
Ohio	41.77	41.77	-	-	-	Cleveland* Bedford Heights* Maple Heights* Garfield Heights* North Olmstead* Parma	
I-481	New York	15.04	15.04	-	-	-	Syracuse* DeWitt
I-485	N. Carolina	16.70	16.70	-	16.70	-	Gastonia
I-490	Ohio	2.43	2.43	-	-	-	Cleveland
New York	37.40	37.40	-	-	-	Rochester	
I-494	Minnesota	42.94	42.94	-	-	-	Minneapolis* Bloomington* Eden Prairie* Maple Grove* Minnetonka
I-495	Virginia	15.28	15.28	-	-	-	Washington, D.C.* Springfield* Annandale* McLean* Vienna
Maryland	16.13	16.13	-	-	-	Washington, D.C.* Bethesda* Wheaton* Silver Spring	
Delaware	11.47	11.47	-	-	-	Wilmington* Claymont	
New York	66.38	66.38	-	62.70	-	New York City- *Manhattan* Manhattan* Queens* Long Island	
Massachusetts	121.56	121.56	12.90	18.50	-	Boston, Lowell, Lawrence	
Maine	50.47	50.47	-	50.47	-	Portland, Lewiston, Gardiner	
I-496	Michigan	11.78	11.78	-	-	-	Lansing
I-505	California	32.98	32.98	-	-	-	Vacaville
I-510	Louisiana	3.04	3.04	-	-	-	New Orleans
I-515	Nevada	20.54	20.54	-	14.90	-	Las Vegas
I-516	Georgia	6.49	6.49	-	6.49	-	Savannah
I-520	Georgia	10.34	10.34	9.11	-	-	Augusta
I-526	S. Carolina	19.26	19.26	-	11.20	-	Charleston* North Charleston* Mount Pleasant
I-530	Arkansas	46.65	46.65	-	46.65	-	
I-535	Minnesota	1.57	1.57	-	-	-	Duluth
Wisconsin	1.21	1.21	-	-	-	Superior	
I-540	Arkansas	80.72	80.72	-	72.67	-	Ft. Smith
N. Carolina	9.52	9.52	-	4.35	-	Raleigh-Durham	
I-564	Virginia	3.03	3.03	-	-	-	Norfolk
I-565	Alabama	21.40	21.40	-	-	-	Huntsville
I-575	Georgia	30.97	30.97	29.16	-	-	Marietta
I-579	Pennsylvania	1.57	1.57	-	-	-	Pittsburgh
I-580	California	75.63	75.63	-	7.30	-	Tracy, Livermore, Castro Valley, Hayward, San Leandro, Oakland
Nevada	4.99	4.99	-	1.21	-	Reno	
I-581	Virginia	6.64	6.64	-	-	-	Roanoke
I-585	S. Carolina	2.25	2.25	-	-	-	Spartanburg
I-587	New York	1.21	1.21	-	-	-	Kingston
I-590	New York	5.31	5.31	5.31	-	-	Rochester
I-595	Maryland	19.97	19.97	19.31	-	-	Washington, D.C.* BowieAnnapolis
Florida	12.86	12.86	-	8.80	-	Ft. Lauderdale	
I-605	California	27.40	27.40	-	-	-	Los Angeles* Long Beach* Lakewood* Bellflower* Norwalk* Downey* South Whittier* El Monte
I-610	Texas	37.97	37.97	-	-	-	Houston
Louisiana	4.52	4.52	-	-	-	New Orleans	
I-630	Arkansas	7.40	7.40	-	-	-	Little Rock
I-635	Texas	37.00	37.00	-	-	-	Dallas* Balch Springs* Mesquite
Kansas	8.90	8.90	-	-	-	Kansas City	
Missouri	3.77	3.77	-	-	-	Kansas City	
I-640	Tennessee	7.03	7.03	-	-	-	Knoxville
I-664	Virginia	20.21	20.21	-	9.20	-	Newport News, Portsmouth
I-670	Kansas	1.64	1.64	-	-	-	Kansas City
Missouri	1.17	1.17	-	-	-	Kansas City	
Ohio	9.37	9.37	-	-	-	Columbus	
I-675	Georgia	11.04	11.04	7.78	-	-	Atlanta
Ohio	26.53	26.53	-	-	-	Dayton	
Michigan	7.72	7.72	-	-	-	Saginaw	
I-676	Pennsylvania	2.15	2.15	-	-	-	Philadelphia
New Jersey	4.75	4.75	-	-	-	Camden	
I-678	New York	14.33	14.33	-	7.80	-	New York City* Queens* Bronx
I-680	California	70.52	70.52	-	12.50	-	San Jose, Milpitas, Freemont, Walnut Creek, Concord
Nebraska	13.32	13.32	-	-	-	Omaha	
Iowa	29.54	19.63	-	-	9.91 Mi. on I-29	Omaha	
Ohio	16.43	16.43	-	-	-	Youngstown	
I-684	New York	27.06	27.06	-	-	-	White Plains
Connecticut	1.41	1.41	-	-	-	None	
I-690	New York	14.19	14.19	-	-	-	Syracuse
I-691	Connecticut	8.38	8.38	6.69	-	-	Meriden
I-694	Minnesota	22.62	21.97	-	-	0.65 Mi on I-35E	St. Paul* Maplewood* Roseville* Fridley
I-695	District of Columbia	1.39	1.39	-	-	-	Washington, D.C.
Maryland	30.57	30.57	-	2.20	-	Baltimore* Dundalk* Essex* Rosedale* Towson* Catonsville	
I-696	Michigan	29.39	29.39	-	-	-	Detroit* Warren* Roseville
I-705	Washington	1.50	1.50	-	-	-	Tacoma
I-710	California	19.66	19.66	-	19.66	-	Los Angeles* Long Beach* Downey* Compton* East Los Angeles
I-759	Alabama	4.50	4.50	-	-	-	Gadsden
I-780	California	6.50	6.50	-	-	-	Vallejo
I-787	New York	10.16	10.16	-	-	-	Albany
I-790	New York	2.41	2.41	-	-	-	Utica
I-794	Wisconsin	3.75	3.75	-	-	-	Milwaukee
I-795	Maryland	8.99	8.99	-	5.47	-	Baltimore* Pikesville* Owings Mill
I-805	California	28.02	28.02	-	-	-	San Diego* Chula Vista* National City
I-820	Texas	35.17	35.17	-	-	-	Ft. Worth
I-878	New York	0.70	0.70	-	-	-	New York City
I-880	California	47.22	47.22	-	47.22	-	San Jose, Oakland
I-890	New York	9.35	9.35	-	-	-	Schenectady
I-894	Wisconsin	4.70	4.70	-	-	-	Milwaukee* West Allis* Wauwatosa
I-895	Maryland	11.44	11.44	-	-	-	Baltimore* Dundalk
New York	1.12	1.12	-	-	-	New York City* Bronx	
I-910	Louisiana	9.70	9.70	-	9.70	-	
I-980	California	2.03	2.03	-	1.00	-	Oakland
I-985	Georgia	24.04	24.04	-	24.04	-	Gainesville
I-990	New York	6.35	6.35	-	2.04	-	Buffalo* Amherst

===========================================================================
FHWA Route Log and Finder List
Table 3: Interstate Routes in Each of the 50 States, District of Columbia, and Puerto Rico

State	InterstateRoute	Total Miles	Net Miles	Howard-CramerMiles	Sections103(c)(4)(A)Miles	ISTEAMiles	OverlapMiles &	Route
Alabama	I-10	66.31	66.31	-	-	-	-	-
I-20	214.70	84.60	-	-	-	130.10	I-59	
I-59	241.36	241.36	-	-	-	-	-	
I-65	367.00	367.00	-	-	-	-	-	
I-85	80.00	80.00	-	-	-	-	-	
I-165	4.90	4.90	-	-	-	-	-	
I-359	2.30	2.30	-	-	-	-	-	
I-459	32.80	32.80	-	-	-	-	-	
I-565	21.40	21.40	-	-	-	-	-	
I-759	4.50	4.50	-	-	-	-	-	
10 Routes	1,035.27	905.17	0.00	0.00	0.00	130.10		
Alaska	A-1	408.23	408.23	-	408.23	-	-	-
A-2	202.18	202.18	-	202.18	-	-	-	
A-3	148.12	148.12	-	148.12	-	-	-	
A-4	323.69	323.69	-	323.69	-	-	-	
4 Routes	1,082.22	1,082.22	0.00	1,082.22	0.00	0.00		
Arizona	I-8	178.33	178.33	-	-	-	-	-
I-10	392.33	392.33	-	-	-	-	-	
I-15	29.39	29.39	-	-	-	-	-	
I-17	145.76	145.76	-	-	-	-	-	
I-19	63.35	63.35	-	-	-	-	-	
I-40	359.48	359.48	-	-	-	-	-	
6 Routes	1,168.64	1,168.64	0.00	0.00	0.00	0.00		
Arkansas	I-30	143.02	143.02	-	-	-	-	-
I-40	284.69	284.69	-	-	-	-	-	
I-55	72.22	70.00	-	-	-	2.22	I-40	
I-430	12.93	12.93	-	-	-	-	-	
I-440	9.96	9.96	-	9.96	-	-	-	
I-530	46.65	46.65	-	46.65	-	-	-	
I-540	80.72	80.72	-	5.97	66.70	-	-	
I-630	7.40	7.40	-	-	-	-	-	
8 Routes	657.59	655.37	0.00	62.58	66.70	2.22		
California	I-5	796.53	796.53	-	-	-	-	-
I-8	169.92	169.92	-	-	-	-	-	
I-10	242.54	240.94	-	-	-	1.60	I-5	
I-15	287.26	287.26	-	-	-	-	-	
I-40	154.61	154.61	-	-	-	-	-	
I-80	199.24	199.24	-	-	-	-	-	
I-105	17.32	17.32	7.00	-	-	-	-	
I-110	20.43	20.43	-	-	-	-	-	
I-205	12.97	12.97	-	-	-	-	-	
I-210	48.72	48.72	-	-	-	-	-	
I-215	54.50	54.50	-	54.50	-	-	-	
I-238	2.23	2.23	-	2.23	-	-	-	
I-280	57.22	57.22	-	-	-	-	-	
I-305	8.44	8.44	-	-	-	-	-	
I-380	3.30	3.30	-	-	-	-	-	
I-405	72.15	72.15	-	-	-	-	-	
I-505	32.98	32.98	-	-	-	-	-	
I-580	75.63	75.63	-	7.30	-	-	-	
I-605	27.40	27.40	-	-	-	-	-	
I-680	70.52	70.52	-	12.50	-	-	-	
I-710	19.66	19.66	-	19.66	-	-	-	
I-780	6.50	6.50	-	-	-	-	-	
I-805	28.02	28.02	-	-	-	-	-	
I-880	47.22	47.22	-	47.22	-	-	-	
I-980	2.03	2.03	-	1.00	-	-	-	
25 Routes	2,457.34	2,455.74	7.00	144.41	0.00	1.60		
Colorado	I-25	299.70	299.70	-	-	-	-	-
I-70	451.04	451.04	-	-	-	-	-	
I-76	184.86	184.86	-	-	-	-	-	
I-225	12.00	12.00	-	-	-	-	-	
I-270	5.31	5.31	-	-	-	-	-	
5 Routes	952.91	952.91	0.00	0.00	0.00	0.00		
Connecticut	I-84	97.90	97.90	-	-	-	-	-
I-91	58.00	58.00	-	-	-	-	-	
I-95	111.57	111.57	-	-	-	-	-	
I-291	6.02	6.02	-	-	-	-	-	
I-384	8.20	8.20	-	-	-	-	-	
I-395	54.69	54.69	-	54.69	-	-	-	
I-684	1.41	1.41	-	-	-	-	-	
I-691	8.38	8.38	6.69	-	-	-	-	
8 Routes	346.17	346.17	6.69	54.69	0.00	0.00		
Delaware	I-95	23.43	23.43	-	-	-	-	-
I-295	5.71	5.71	-	-	-	-	-	
I-495	11.47	11.47	-	-	-	-	-	
3 Routes	40.61	40.61	0.00	0.00	0.00	0.00		
District of Columbia	I-66	1.48	1.48	-	-	-	-	-
I-95	0.11	0.11	-	-	-	-	-	
I-295	7.25	7.25	-	-	-	-	-	
I-395	3.48	3.48	-	-	-	-	-	
I-695	1.39	1.39	-	-	-	-	-	
5 Routes	13.71	13.71	0.00	0.00	0.00	0.00		
Florida	I-4	132.30	132.30	-	-	-	-	-
I-10	362.28	362.28	-	-	-	-	-	
I-75	470.88	470.88	46.31	-	-	-	-	
I-95	382.15	382.15	-	-	-	-	-	
I-110	6.94	6.94	-	-	-	-	-	
I-175	1.44	1.44	-	1.44	-	-	-	
I-195	4.42	4.42	-	-	-	-	-	
I-275	60.64	60.64	-	-	-	-	-	
I-295	35.51	35.51	-	-	-	-	-	
I-375	1.34	1.34	-	1.34	-	-	-	
I-395	1.29	1.29	-	-	-	-	-	
I-595	12.86	12.86	-	8.80	-	-	-	
12 Routes	1,472.05	1,472.05	46.31	11.58	0.00	0.00		
Georgia	I-16	166.81	166.81	-	-	-	-	-
I-20	202.61	202.61	-	-	-	-	-	
I-24	4.10	4.10	-	-	-	-	-	
I-59	20.67	20.67	-	-	-	-	-	
I-75	355.11	355.11	-	-	-	-	-	
I-85	179.90	171.90	-	-	-	8.00	I-75	
I-95	112.00	112.00	-	-	-	-	-	
I-185	49.30	49.30	-	5.50	-	-	-	
I-285	63.98	62.77	-	-	-	1.21	I-85	
I-475	15.83	15.83	-	-	-	-	-	
I-516	6.49	6.49	-	6.49	-	-	-	
I-520	10.34	10.34	9.11	-	-	-	-	
I-575	30.97	30.97	29.16	-	-	-	-	
I-675	11.04	11.04	7.78	-	-	-	-	
I-985	24.04	24.04	-	24.04	-	-	-	
15 Routes	1,253.19	1,243.98	46.05	36.03	0.00	9.21		
Hawaii	H-1	27.16	27.16	-	-	-	-	-
H-2	8.33	8.33	-	-	-	-	-	
H-3	15.32	15.32	-	-	-	-	-	
H-201	4.10	4.10	-	4.10	-	-	-	
4 Routes	54.91	54.91	0.00	4.10	0.00	0.00		
Idaho	I-15	196.00	196.00	-	-	-	-	-
I-84	275.74	275.74	-	-	-	-	-	
I-86	62.85	62.85	-	-	-	-	-	
I-90	73.55	73.55	-	-	-	-	-	
I-184	3.62	3.62	-	-	-	-	-	
5 Routes	611.76	611.76	0.00	0.00	0.00	0.00		
Illinois	I-24	38.73	38.73	-	-	-	-	-
I-39	123.42	123.42	-	123.42	-	-	-	
I-55	313.08	294.38	-	-	-	18.70	I-70	
I-57	364.16	358.57	-	-	-	5.59	I-70	
I-64	128.12	123.98	-	-	-	4.14	I-57	
I-70	135.94	135.94	-	-	-	-	-	
I-72	177.25	177.25	-	99.10	-	-	-	
I-74	220.34	214.45	-	-	-	5.89	I-55	
I-80	163.52	163.52	-	-	-	-	-	
I-88	140.60	140.60	-	140.60	-	-	-	
I-90	123.89	108.50	-	16.71	-	15.39	I-94	
I-94	61.53	59.05	-	-	-	2.48	I-80	
I-155	32.13	32.13	-	32.13	-	-	-	
I-172	19.69	19.69	-	19.69	-	-	-	
I-180	13.19	13.19	-	-	-	-	-	
I-190	3.07	3.07	-	3.07	-	-	-	
I-255	27.05	27.05	-	-	-	-	-	
I-270	14.97	14.97	-	-	-	-	-	
I-280	17.60	8.21	-	-	-	9.39	I-74	
I-290	29.84	29.84	-	-	-	-	-	
I-294	53.42	48.10	-	-	-	5.32	I-80	
I-355	20.01	20.01	-	20.01	-	-	-	
I-474	14.88	14.88	-	-	-	-	-	
23 Routes	2,236.43	2,169.53	0.00	454.73	0.00	66.90		
Indiana	I-64	123.33	123.33	-	-	-	-	-
I-65	261.27	261.27	-	-	-	-	-	
I-69	157.30	157.30	-	-	-	-	-	
I-70	156.60	154.47	-	-	-	2.13	I-65	
I-74	171.54	150.94	-	-	-	20.60	I-465	
I-80	151.56	151.56	-	-	-	-	-	
I-90	156.28	20.68	-	-	-	135.60	I-80	
I-94	46.13	30.08	-	-	-	16.05	I-80	
I-164	21.24	21.24	-	-	-	-	-	
I-265	6.73	6.73	-	-	-	-	-	
I-275	3.16	3.16	-	-	-	-	-	
I-465	57.51	57.51	-	5.03	-	-	-	
I-469	30.83	30.83	-	30.83	-	-	-	
13 Routes	1,343.48	1,169.10	0.00	35.86	0.00	174.38		
Iowa	I-29	154.75	151.75	-	-	-	3.00	I-80
I-35	218.33	218.33	-	-	-	-	-	
I-74	5.36	5.36	-	-	-	-	-	
I-80	303.23	288.94	-	-	-	14.29	I-35	
I-129	0.27	0.27	-	-	-	-	-	
I-235	13.78	13.78	-	-	-	-	-	
I-280	9.38	9.38	-	-	-	-	-	
I-380	73.05	73.05	-	-	-	-	-	
I-480	0.75	0.75	-	-	-	-	-	
I-680	29.54	19.63	-	-	-	9.91	I-29	
10 Routes	808.44	781.24	0.00	0.00	0.00	27.20		
Kansas	I-35	235.51	235.51	-	-	-	-	-
I-70	424.15	424.15	-	-	-	-	-	
I-135	95.74	95.74	-	-	-	-	-	
I-235	16.52	16.52	-	-	-	-	-	
I-335	50.13	50.13	-	50.13	-	-	-	
I-435	28.03	28.03	-	-	-	-	-	
I-470	13.72	13.72	-	-	-	-	-	
I-635	8.90	8.90	-	-	-	-	-	
I-670	1.64	1.64	-	-	-	-	-	
9 Routes	874.34	874.34	0.00	50.13	0.00	0.00		
Kentucky	I-24	93.37	93.37	-	-	-	-	-
I-64	185.20	185.20	-	-	-	-	-	
I-65	137.32	137.32	-	-	-	-	-	
I-71	97.42	77.72	-	-	-	19.70	I-75	
I-75	191.78	191.78	-	-	-	-	-	
I-264	22.93	22.93	-	-	-	-	-	
I-265	24.48	24.48	-	21.20	-	-	-	
I-275	24.58	24.58	-	-	-	-	-	
I-471	5.02	5.02	-	-	-	-	-	
