===========================================================================
FHWA Route Log and Finder List: Table 1
Table 1: Main Routes of the Dwight D. Eisenhower National System Of Interstate and Defense Highways as of October 31, 2002

InterstateRoute	State	Total Miles	Net Miles	Howard-CramerMiles	Sections103(c)(4)(A)& ISTEAMiles	OverlapMiles& Route	MajorCities Served(Pop. larger than 5,000)
Minnesota	259.69	220.46	-	-	39.23 Mi on I-35E	Albert Lea, Owatonna, Faribault, Saint Paul, Duluth	
TOTAL	1,568.38	1,431.20	-	-	137.18		
I-35E	Texas	96.76	96.76	-	-	-	Hillsboro, Waxahachie, Dallas, Denton
Minnesota	39.34	39.34	-	-	-	Saint Paul	
TOTAL	136.10	136.10					
I-35W	Texas	85.20	85.20	-	-	-	Fort Worth, Denton
Minnesota	41.78	41.78	-	-	-	Bloomington, Minneapolis, Blaine	
TOTAL	126.98	126.98					
I-37	Texas	143.00	143.00	-	-	-	Corpus Christi, Mathis
I-39	Illinois	123.42	123.42	-	123.42	-	La Salle, Mendota, Rockford
Wisconsin	182.72	182.72	-	104.00		Portage, Wausau	
TOTAL	306.14	306.14	-	227.42			
I-40	California	154.61	154.61	-	-	-	Barstow, Needles
Arizona	359.48	359.48	-	-	-	Kingman, Flagstaff, Winslow, Holbrook	
New Mexico	373.51	373.51	-	-	-	Gallup, Grants, Albuquerque, Tucumcari	
Texas	177.10	177.10	-	-	-	Amarillo	
Oklahoma	331.03	329.50	-	-	1.53 Mi on I-35	Elk City, Clinton, Weatherford, El Reno, Oklahoma City, Henryetta	
Arkansas	284.69	284.69	-	-	-	Fort Smith, Russellville, Morriton, Conway, Little Rock, Forrest City, West Memphis	
Tennessee	455.28	455.28	-	-	-	Memphis, Jackson, Nashville, Lebanon, Cookeville, Crossville, Knoxville, Newport	
N. Carolina	419.40	419.40	-	91.40	-	Asheville, Morganton, Hickory, Statesville, Winston-Salem, Greensboro, Burlington, Durham, Raleigh, Smithfield, Wilmington	
TOTAL	2,555.10	2,553.57	-	91.40	1.53		
