
City  							Mileage		
Indiana, PA						1,870
Indianapolis, IN					1,505
Indio, CA						768
International Falls, MN					1,342
Iowa City, IA						1,776
Ithaca, NY						2,039

Jackson, MS						1,674
Jackson, WY						185
Jackson Lake Lodge, WY					246
Jacksonville, FL					2,159
Jacksonville, IL					1,289
Jacksonville, NC					2,216
Jamestown, NY						1,860
Jamestown, ND						999
Jefferson City, MO					1,218
Jerome, ID						202
Johnstown, PA						1,898
Joliet, IL						1,368
Joplin, MO						1,205
Jordan, UT						96
Junction						286
Junction City, KS					973

Kalamazoo, MI						1,519
Kalispell, MT						566
Kamas, UT						118
Kanab, UT						381
Kansas City, KS						1,075
Kansas City, MO						1,074
Kaysville, UT						62
Kearns, UT						100
Kenosha, WI						1,416
Keokuk, IA						1,200
Ketchum, ID						267
Key West, FL						2,653
Kimberly, ID						187
Klamath Falls, OR					702
Knoxville, TN						1,797

LaCrosse, WI					1,250
Lafayette, IN					1,466
Lafayette, LA					1,669
Lake Charles, LA				1,598
Lake City, FL					2,134
Lake Tahoe (South), CA				616
Laketown, UT					51
Laketown UT to Randolph, UT			20
Lampasas, TX					1,307
Lancaster, OH					1,699
Lancaster, PA					2,060
Lander, WY					296
Lansing, MI					1,593
Laramie, WY					388
Laredo, TX					1,456
Lark, UT					106
Las Cruces, NM					901
Las Vegas, NV					493
Las Vegas, NM					749
Lawrence, KS					1,054
Lawrence, MA					2,345
Layton, UT					57
Leavenworth, KS					1,057
Lebanon, KY					1,649
Lebanon, MO					1,255
Lehi, UT					109
Lemmon, SD					796
Levan						181
Lewiston, ID					568
Lewiston, UT					19
Lewistown, MT					504
Lewistown, PA					1,968
Lexington, KY					1,658
Lexington, MA					2,344
Lexington, VA					1,978
Lima, OH					1,596
Lincoln, NE					882
Little Rock AR					1,451
Livingston, MT					368
Loa, UT						279
Locomotive Springs, UT				75
Logan Airport to Utah State University, Logan, U5		T
Logan Jr. High School, Logan, UT		1.5
Logan Sr. High School, Logan, UT		2
Logansport, IN					1,475
London, Ontario, Canada				1,766
Long Beach, CA					871
Los Alamos, NM					683
Los Angeles, CA					764
Louisville, KY					1,585
Loveland, CO					481
Lubbock, TX					966
Lucin, UT					157
Lufkin, TX					1,458
Lynchburg, VA					2,023

McAlester, OK					1,236
McAllen, TX					1,601
McCall, ID					432
McComb, MS					1,716
McCook, NE					704
Mackinaw City, MI				1,688
Macon, GA					1,931
Madison, IN					1,592
Madison, WI					1,342
Magna, UT					102
Maida, ND					1,115
Malad, ID					47
Malad, ID to Salt Lake City, UT			109
Malone, NY					2,209
Mammoth, OR					789
Mammoth, Yellowstone National Park		452
Manchester, NH					2,330
Manhattan, KS					974
Manilla, WY					734
Manitowoc, WI					1,450
Mankato, MN					1,109
Mansfield, OH					1,679
Manti, UT					201
Manti, UT to Cedar City, UT			158
Manti, UT to Delta, UT				99
Manti, UT to Deseret, UT			102
Manti, UT to Ephraim, UT			7
Manti, UT to Gunnison, UT			15
Manti, UT to Heber, UT				111
Manti, UT to Leamington, UT			75
Manti, UT to Moroni, UT				19
Manti, UT to Mt. Pleasant, UT			21
Manti, UT to Richfield, UT			43
Manti, UT to Roosevelt, UT			177
Manti, UT to Salina, UT				28
Manti, UT to Salt Lake City, UT			127
Manti, UT to Vernal, UT				207
Mantua, UT					20
Many, LA					1,529
Marinette, WI					1,485
Marion, IL					1,437
Marion, IN					1,522
Marion, OH					1,650
Marquette, MI					1,552
Marshall, MN					1,044
Marshfield, WI					1,341
Martinsville, VA				2,020
Mason City, IA					1,145
Maysville, KY					1,677
Meadville, PA					1,803
Memphis, TN					1,523
Mendon, UT					10
Merced, CA					794
Mercer, PA					1,792
Meridian, MS					1,752
Mesa, AZ					748
Miami, FL					2,497
Michigan City, IN				1,435
Middlesboro, Ky					1,783
Middletown, OH					1,602
Midvale, UT					96
Midvale, UT to Ogden, UT			45
Midway, UT					134
Miles City, MT					627
Milford, UT					321
Milford, UT to Delta, UT			78
Milford, UT to Panguitch, UT			80
Milford, UT to St. George, UT			110
Millersburg, PA					2,024
Millville, NJ					2,155
Millville, UT					5
Milwaukee, WI					1,417
Minersville					308
Minneapolis, MN					1,187
Minot, ND					927
Missoula, MT					449
Mitchell, SD					904
Moab, UT					313
Moab, UT to Castle Dale, UT			141
Moab, UT to Durango, CO				167
Moab, UT to Ephraim, UT				228
Moab, UT to Gallup, NM				267
Moberly, MO					1,177
Mobile, AL					1,860
Mobridge, SD					847
Modesto, CA					758
Monroe, LA					1,554
Monticello, UT					389
Monterey, CA					874
Montezuma Creek, UT				435
Montgomery, AL					1,861
Montpelier, ID					66
Montreal, Quebec, Canada			2,214
Monument Valley, UT				387
Moore, UT  to Ferron, UT			9
Morgan, UT					70
Morgan, UT to Coalville, UT			23
Morgan, UT to Duchesne, UT			124
Morgan, UT to Randolph, UT			91
Morgan, UT to Roy, UT				19
