"GEO_ID","GEO_ID2","SUMLEVEL","GEOCOMP","GEO_NAME","STATE","MSACMSA","PMSA","GCTPH1_US10.C0","GCTPH1_US10.C1","GCTPH1_US10.C2","GCTPH1_US10.C3","GCTPH1_US10.C4","GCTPH1_US10.C5","GCTPH1_US10.C6"
"Geography Identifier","Geography Identifier","Geographic Summary Level","Geographic Component","Geography","State","Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area","Primary Metropolitan Statistical Area","Population","Housing  units","Area in square miles; Total area","Area in square miles; Water area","Area in square miles; Land area","Density per square mile of land area; Population","Density per square mile of land area; Housing  units"
"38500US44728735","44728735","385","00","Ventura, CA PMSA","","4472","8735","753197","251712","2208.20","362.90","1845.30","408.2","136.4"
"38500US49922680","49922680","385","00","Fort Lauderdale, FL PMSA","","4992","2680","1623018","741043","1319.63","114.24","1205.40","1346.5","614.8"
"38500US49925000","49925000","385","00","Miami, FL PMSA","","4992","5000","2253362","852278","2431.26","485.19","1946.06","1157.9","437.9"
"38500US50825080","50825080","385","00","Milwaukee--Waukesha, WI PMSA","","5082","5080","1500741","618244","3322.27","1862.38","1459.90","1028.0","423.5"
"38500US50826600","50826600","385","00","Racine, WI PMSA","","5082","6600","188831","74718","791.90","458.81","333.10","566.9","224.3"
"38500US56020875","56020875","385","00","Bergen--Passaic, NJ PMSA","","5602","0875","1373167","509868","443.85","24.39","419.46","3273.6","1215.5"
"38500US56021160","56021160","385","00","Bridgeport, CT PMSA","","5602","1160","459479","179318","276.98","15.15","261.83","1754.9","684.9"
"38500US56021930","56021930","385","00","Danbury, CT PMSA","","5602","1930","217980","82542","402.05","15.15","386.90","563.4","213.3"
"38500US56022281","56022281","385","00","Dutchess County, NY PMSA","","5602","2281","280150","106103","825.38","23.78","801.59","349.5","132.4"
"38500US56023640","56023640","385","00","Jersey City, NJ PMSA","","5602","3640","608975","240618","62.43","15.74","46.69","13043.6","5153.8"
"38500US56025015","56025015","385","00","Middlesex--Somerset--Hunterdon, NJ PMSA","","5602","5015","1169641","430692","1065.32","20.97","1044.35","1120.0","412.4"
"38500US56025190","56025190","385","00","Monmouth--Ocean, NJ PMSA","","5602","5190","1126217","489595","1581.00","472.78","1108.21","1016.2","441.8"
"38500US56025380","56025380","385","00","Nassau--Suffolk, NY PMSA","","5602","5380","2753913","980474","2826.15","1627.26","1198.89","2297.1","817.8"
"38500US56025480","56025480","385","00","New Haven--Meriden, CT PMSA","","5602","5480","542149","223326","450.55","20.63","429.92","1261.0","519.5"
"38500US56025600","56025600","385","00","New York, NY PMSA","","5602","5600","9314235","3680360","1414.55","272.91","1141.64","8158.7","3223.8"
"38500US56025640","56025640","385","00","Newark, NJ PMSA","","5602","5640","2032989","766020","1615.05","37.38","1577.67","1288.6","485.5"
"38500US56025660","56025660","385","00","Newburgh, NY--PA PMSA","","5602","5660","387669","157435","1405.18","42.04","1363.15","284.4","115.5"
"38500US56028040","56028040","385","00","Stamford--Norwalk, CT PMSA","","5602","8040","353556","139224","282.96","72.84","210.12","1682.7","662.6"
"38500US56028480","56028480","385","00","Trenton, NJ PMSA","","5602","8480","350761","133280","228.84","2.91","225.93","1552.5","589.9"
"38500US56028880","56028880","385","00","Waterbury, CT PMSA","","5602","8880","228984","94668","237.66","4.15","233.51","980.6","405.4"
"38500US61620560","61620560","385","00","Atlantic--Cape May, NJ PMSA","","6162","0560","354878","205137","1291.73","475.47","816.26","434.8","251.3"
"38500US61626160","61626160","385","00","Philadelphia, PA--NJ PMSA","","6162","6160","5100931","2047843","3959.25","104.01","3855.23","1323.1","531.2"
"38500US61628760","61628760","385","00","Vineland--Millville--Bridgeton, NJ PMSA","","6162","8760","146438","52863","676.59","187.29","489.30","299.3","108.0"
"38500US61629160","61629160","385","00","Wilmington--Newark, DE--MD PMSA","","6162","9160","586216","233982","911.39","136.99","774.40","757.0","302.1"
"38500US64426440","64426440","385","00","Portland--Vancouver, OR--WA PMSA","","6442","6440","1918009","786300","5133.95","106.29","5027.66","381.5","156.4"
"38500US64427080","64427080","385","00","Salem, OR PMSA","","6442","7080","347214","132635","1938.28","13.30","1924.98","180.4","68.9"
"38500US69226920","69226920","385","00","Sacramento, CA PMSA","","6922","6920","1628197","653394","4286.36","205.49","4080.87","399.0","160.1"
"38500US69229270","69229270","385","00","Yolo, CA PMSA","","6922","9270","168660","61587","1022.89","9.62","1013.27","166.5","60.8"
"38500US73625775","73625775","385","00","Oakland, CA PMSA","","7362","5775","2392557","894760","1623.30","165.78","1457.52","1641.5","613.9"
"38500US73627360","73627360","385","00","San Francisco, CA PMSA","","7362","7360","1731183","712093","1801.13","785.56","1015.56","1704.7","701.2"
"38500US73627400","73627400","385","00","San Jose, CA PMSA","","7362","7400","1682585","579329","1304.01","13.32","1290.69","1303.6","448.9"
"38500US73627485","73627485","385","00","Santa Cruz--Watsonville, CA PMSA","","7362","7485","255602","98873","607.16","161.92","445.24","574.1","222.1"
"38500US73627500","73627500","385","00","Santa Rosa, CA PMSA","","7362","7500","458614","183153","1768.23","192.35","1575.88","291.0","116.2"
"38500US73628720","73628720","385","00","Vallejo--Fairfield--Napa, CA PMSA","","7362","8720","518821","183067","1694.94","112.02","1582.92","327.8","115.7"
"38500US74420470","74420470","385","00","Arecibo, PR PMSA","72","7442","0470","174300","65423","291.86","77.66","214.20","813.7","305.4"
"38500US74421310","74421310","385","00","Caguas, PR PMSA","72","7442","1310","308365","110065","228.99","1.34","227.65","1354.5","483.5"
"38500US74427440","74427440","385","00","San Juan--Bayamón, PR PMSA","72","7442","7440","1967627","738430","1537.64","543.51","994.13","1979.2","742.8"
"38500US76021150","76021150","385","00","Bremerton, WA PMSA","","7602","1150","231969","92644","565.98","170.01","395.97","585.8","234.0"
"38500US76025910","76025910","385","00","Olympia, WA PMSA","","7602","5910","207355","86652","773.64","46.62","727.02","285.2","119.2"
"38500US76027600","76027600","385","00","Seattle--Bellevue--Everett, WA PMSA","","7602","7600","2414616","1010820","5020.32","596.78","4423.54","545.9","228.5"
"38500US76028200","76028200","385","00","Tacoma, WA PMSA","","7602","8200","700820","277060","1806.50","127.58","1678.91","417.4","165.0"
"38500US88720720","88720720","385","00","Baltimore, MD PMSA","","8872","0720","2552994","1048046","3104.45","495.40","2609.05","978.5","401.7"
"38500US88723180","88723180","385","00","Hagerstown, MD PMSA","","8872","3180","131923","52972","467.55","9.41","458.14","288.0","115.6"
"38500US88728840","88728840","385","00","Washington, DC--MD--VA--WV PMSA","","8872","8840","4923153","1942641","6919.64","410.37","6509.27","756.3","298.4"
