id	freq	dec_entity	alpha_entity	scr_code	pl_name
236	0000011088	&#236;	&igrave;	Latin	Latn
237	0000464972	&#237;	&iacute;	Latin	Latn
238	0000017899	&#238;	&icirc;	Latin	Latn
239	0000010109	&#239;	&iuml;	Latin	Latn
240	0000004562	&#240;	&eth;	Latin	Latn
241	0000206456	&#241;	&ntilde;	Latin	Latn
242	0000012234	&#242;	&ograve;	Latin	Latn
243	0000427289	&#243;	&oacute;	Latin	Latn
244	0000049700	&#244;	&ocirc;	Latin	Latn
245	0000031364	&#245;	&otilde;	Latin	Latn
246	0000178830	&#246;	&ouml;	Latin	Latn
247	0000000330	&#247;	&divide;	Latin	Latn
248	0000045007	&#248;	&oslash;	Latin	Latn
249	0000012550	&#249;	&ugrave;	Latin	Latn
250	0000123708	&#250;	&uacute;	Latin	Latn
251	0000003279	&#251;	&ucirc;	Latin	Latn
252	0000349049	&#252;	&uuml;	Latin	Latn
253	0000013876	&#253;	&yacute;	Latin	Latn
254	0000001151	&#254;	&thorn;	Latin	Latn
255	0000000345	&#255;	&yuml;	Latin	Latn
256	0000000110	&#256;	&#256;	Latin	Latn
257	0000023959	&#257;	&#257;	Latin	Latn
258	0000000210	&#258;	&#258;	Latin	Latn
259	0000044923	&#259;	&#259;	Latin	Latn
260	0000000085	&#260;	&#260;	Latin	Latn
261	0000007429	&#261;	&#261;	Latin	Latn
262	0000000083	&#262;	&#262;	Latin	Latn
263	0000004655	&#263;	&#263;	Latin	Latn
264	0000000083	&#264;	&#264;	Latin	Latn
265	0000000277	&#265;	&#265;	Latin	Latn
266	0000000003	&#266;	&#266;	Latin	Latn
267	0000000032	&#267;	&#267;	Latin	Latn
268	0000002296	&#268;	&#268;	Latin	Latn
269	0000028307	&#269;	&#269;	Latin	Latn
270	0000000042	&#270;	&#270;	Latin	Latn
271	0000001529	&#271;	&#271;	Latin	Latn
272	0000001927	&#272;	&#272;	Latin	Latn
273	0000008819	&#273;	&#273;	Latin	Latn
274	0000000056	&#274;	&#274;	Latin	Latn
